modelID;modelName;channel;primaryClass;secondaryClass;validationSetSize;trainingSetSize;averageAccuracy;standardError;trainingDuration;cropSize;numberOfEpochs;batchSize;extractedCrops;randomAugmentation;AUC;Kappa;f1;precision;recall
1;model1;w4;DOCETAXEL;NEGATIVE;304;1216;941118;2567;3053;573;10;32;4;WAAR;9838;4099;965;9342;9342
2;model2;w2;DOCETAXEL;NEGATIVE;304;1216;949342;2142;3t046E+16;573;10;32;4;WAAR;9883;5646;9756;9539;9539
3;model3;w1;DOCETAXEL;NEGATIVE;304;1216;932566;839;3t124E+16;573;10;32;4;WAAR;9699;628;9623;9276;9276
4;model4;w1;POSITIVE;NEGATIVE;576;2288;800347;23069;5598;573;10;32;4;WAAR;8844;7188;8433;8594;8594
5;model5;w2;POSITIVE;NEGATIVE;576;2288;924132;6715;5t589E+16;573;10;32;4;WAAR;9577;8889;9454;9444;9444
6;model6;w4;POSITIVE;NEGATIVE;568;2260;891725;7622;5583;573;10;32;4;WAAR;9321;7033;8671;8521;8521
